"かも知れません","かもしれません","may, might, perhaps, may be, possibly"
"該当","がいとう","corresponding to, being applicable to, being relevant to, coming under, falling under, fulfilling (requirements), meeting (conditions), qualifying for"
"以内","いない","within, inside of, less than"
"以外","いがい","with the exception of, excepting, excluding"
"含む","ふくむ","to contain, to comprise, to have, to hold, to include, to embrace; to hold in the mouth; to bear in mind, to understand, to harbor (grudge, etc.), to harbour; to express (emotion, etc.), to imply"
"に就いて","について","concerning, regarding; per (e.g. 100 yen per person), for every"
"就いて","ついて","about, concerning, as to, regarding"
"趣味","しゅみ","hobby, pastime; tastes, preference, liking"
"出身地","しゅっしんち","the place one comes from, one's birthplace, one's hometown"
"様々","さまざま","various, varied, diverse, all sorts of"
"申す","もうす","to say, to be called; to do"
"幾つか","いくつか","(a) few, some, several"
"別","べつ","distinction, difference, discrimination; separate, different, another, extra; exception, exclusion; classified by, ranked by, according to"
"実物","じつぶつ","real thing, original, actual"
"代わりに","かわりに","instead of, in place of, as a substitute for; in exchange for, in return for, to make up for"
"以下","いか","not exceeding, and downward, ... and below; below (e.g. standard), under (e.g. a level); the below-mentioned, the following, the rest"
"以上","いじょう","not less than, ... and over, ... and above, ... and upwards, ... or more; beyond (e.g. one's expectations), above, more than, further than; above-mentioned, aforementioned, foregoing; since ..., seeing that ..., now that ..., once ...; that's all, that is the end, the end"
"発音","はつおん","pronunciation; production of sound"
"様な","ような","like, similar to; (I) think (that), (I) have a feeling (that); feels like, feels similar to, feels as if"
"様に","ように","in order to (e.g. meet goal), so that, take care (so as); hoping or wishing for something"
"手伝い","てつだい","helper, assistant; help, assistance"
"文法","ぶんぽう","grammar"
"文","ぶん","sentence; composition, text, writings; the literary arts (as opposed to the military arts), academia, literature; statement"
"点ける","つける","to turn on, to switch on, to light up"
"整える","ととのえる","to put in order, to arrange, to tidy up, to straighten, to adjust, to fix; to get ready, to prepare, to arrange, to supply, to assemble, to buy; to work out (e.g. business deal), to arrange (e.g. marriage), to settle"
"勤務時間","きんむじかん","office hours, business hours, working hours"
"減らす","へらす","to abate, to decrease, to diminish, to shorten"
"増やし","ふやし","increase"
"汚れ","よごれ","dirt, filth, stain, blot, spot"
"染み","しみ","stain, spot, smudge, blot, smear, blotch; spot (on one's skin, e.g. chloasma, liver spot), blemish, discoloration, freckle"
"砂糖","さとう","sugar"
"塩","しお","salt, common salt, table salt, sodium chloride; hardship, toil, trouble; saltiness; cold, unwelcoming, indifferent"
"今度","こんど","this time, now; next time, another time, shortly, soon; recently, lately, the other day"
"年商","ねんしょう","yearly (annual) turnover"
"送信","そうしん","transmission, sending"
"匂い","におい","odour, odor, scent, smell, stench; aura, whiff, smacks of ..., sense, flavour, flavor"
"臭気","しゅうき","bad smell, stink"
"日課","にっか","daily routine, daily work, daily lesson"
"時刻表","じこくひょう","timetable, schedule"
"予定","よてい","plans, arrangement, schedule, program, programme, expectation, estimate"
"従う","したがう","to obey (an order, law, etc.), to abide by (a rule, custom, etc.), to follow, to observe, to conform to, to yield to; to follow (a person), to accompany, to go with; to go alongside (e.g. a river), to follow (e.g. a sign); to serve (as), to engage in (work)"
"学ぶ","まなぶ","to study (in depth), to learn, to take lessons in"
"習う","ならう","to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in"
"野心的","やしんてき","ambitious, enterprising"
"珍しい","めずらしい","unusual, rare, curious; new, novel; fine (e.g. gift)"
"熱心","ねっしん","zealous, enthusiastic, ardent, fervent, keen, eager"
"好奇心旺盛","こうきしんおうせい","brimming with curiosity"
"都市","とし","town, city, municipal, urban"
"糸切り歯","いときりば","canine tooth"
"生活","せいかつ","life, living; livelihood, (one's) living"
"更新","こうしん","renewal, update, replacement, renovation, breaking (a record)"
"縺れる","もつれる","to get entangled, to get tangled, to tangle; to have poor control over (one's tongue, feet, etc.), to trip over; to become complicated"
"館","やかた","mansion, palace, manor house, castle; nobleman, noblewoman, dignitary; cabin (on a boat, carriage, etc.)"
"悪くなる","わるくなる","to get worse, to deteriorate, to go from bad to worse, to become worse; to spoil (of food), to go bad, to perish"
"分別","ふんべつ","discretion, prudence, good sense, judgement, judgment, wisdom, discernment"
"受付","うけつけ","reception (desk), information desk; receipt, acceptance"
"乗せる","のせる","to place on (something); to give (someone) a ride, to give a lift, to pick up, to help on board; to load (luggage), to carry, to take on board; to send out (on the airwaves, etc.); to deceive, to take for a ride; to (sing) along with (musical accompaniment); to let (someone) take part; to excite (someone); to publish (an article), to run (an ad)"
"戻る","もどる","to turn back (e.g. half-way); to return, to go back; to recover (e.g. something lost), to be returned; to rebound, to spring back"
"回り","まわり","rotation; making the rounds; spreading; effect, efficacy; by way of, via; round, turn; size; 12-year period, 12-year age difference"
"下がる","さがる","to come down, to go down, to fall, to drop, to sink, to get lower; to hang, to dangle; to move back, to step back, to withdraw, to retire; to deteriorate, to fall off, to be downgraded; to get closer to the present day; to go south"
"応募","おうぼ","application, subscription, entry (competition, raffle, etc.), enlistment"
"怒る","おこる","to get angry, to get mad; to tell someone off, to scold; to be angular, to be square"
